"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"622","Bakersfield Christian","Bakersfield","CA","USA","Bakersfield Christian, Bakersfield, CA","Bakersfield Christian, Bakersfield, CA",-119.1440181,35.3526963
"623","Baldwin Park","Baldwin Park","CA","USA","Baldwin Park, Baldwin Park, CA","Baldwin Park, Baldwin Park, CA",-117.9608978,34.0852868
"624","Banning","Banning","CA","USA","Banning, Banning, CA","Banning, Banning, CA",-116.8764103,33.9255713
"625","Barstow","Barstow","CA","USA","Barstow, Barstow, CA","Barstow, Barstow, CA",-117.0172826,34.8957957
"626","Bear Creek","Stockton","CA","USA","Bear Creek, Stockton, CA","Bear Creek, Stockton, CA",-121.3421853,38.048775
"627","Bellarmine Prep","Morgan Hill","CA","USA","Bellarmine Prep, Morgan Hill, CA","Bellarmine Prep, Morgan Hill, CA",-121.9187738,37.3435065
"628","Bellarmine Prep","San Jose","CA","USA","Bellarmine Prep, San Jose, CA","Bellarmine Prep, San Jose, CA",-121.9187738,37.3435065
"629","Bellflower","Bellflower","CA","USA","Bellflower, Bellflower, CA","Bellflower, Bellflower, CA",-118.1170117,33.8816818
"630","Benjamin Franklin Senior","Los Angeles","CA","USA","Benjamin Franklin Senior, Los Angeles, CA","Benjamin Franklin Senior, Los Angeles, CA",-118.1987917,34.1154172
"631","Berean Christian","Walnut Creek","CA","USA","Berean Christian, Walnut Creek, CA","Berean Christian, Walnut Creek, CA",-122.032613,37.913751
"632","Berkeley","Berkeley","CA","USA","Berkeley, Berkeley, CA","Berkeley, Berkeley, CA",-122.273042,37.8715226
"633","Beverly Hills","Beverly Hills","CA","USA","Beverly Hills, Beverly Hills, CA","Beverly Hills, Beverly Hills, CA",-118.4003563,34.0736204
"634","Birmingham","Granada Hills","CA","USA","Birmingham, Granada Hills, CA","Birmingham, Granada Hills, CA",-118.484444,34.2580752
"635","Birmingham","Valencia","CA","USA","Birmingham, Valencia, CA","Birmingham, Valencia, CA",-118.5045983,34.1887959
"636","Birmingham","Van Nuys","CA","USA","Birmingham, Van Nuys, CA","Birmingham, Van Nuys, CA",-118.5045983,34.1887959
"637","Bishop","Bishop","CA","USA","Bishop, Bishop, CA","Bishop, Bishop, CA",-118.3996636,37.3614238
"638","Bishop Alemany","Covina","CA","USA","Bishop Alemany, Covina, CA","Bishop Alemany, Covina, CA",-118.4612937,34.2749238
"639","Bishop Alemany","Mission Hills","CA","USA","Bishop Alemany, Mission Hills, CA","Bishop Alemany, Mission Hills, CA",-118.4612937,34.2749238
"640","Bishop Alemany","Pasadena","CA","USA","Bishop Alemany, Pasadena, CA","Bishop Alemany, Pasadena, CA",-118.4612937,34.2749238
"641","Bishop Amat","Diamond Bar","CA","USA","Bishop Amat, Diamond Bar, CA","Bishop Amat, Diamond Bar, CA",-117.9646098,34.0543703
"642","Bishop Amat","La Puente","CA","USA","Bishop Amat, La Puente, CA","Bishop Amat, La Puente, CA",-117.9646098,34.0543703
"643","Bishop Garcia Diego","Santa Barbara","CA","USA","Bishop Garcia Diego, Santa Barbara, CA","Bishop Garcia Diego, Santa Barbara, CA",-119.7588805,34.4448113
"644","Bishop Montgomery","Torrance","CA","USA","Bishop Montgomery, Torrance, CA","Bishop Montgomery, Torrance, CA",-118.3734314,33.836524
"645","Bishop O'Dowd","Oakland","CA","USA","Bishop O'Dowd, Oakland, CA","Bishop O'Dowd, Oakland, CA",-122.1546971,37.7532646
"646","Blair","Pasadena","CA","USA","Blair, Pasadena, CA","Blair, Pasadena, CA",-118.1461844,34.126399
"647","Bloomington","Bloomington","CA","USA","Bloomington, Bloomington, CA","Bloomington, Bloomington, CA",-117.3954101,34.0716339
"648","Bonita Vista","Chula Vista","CA","USA","Bonita Vista, Chula Vista, CA","Bonita Vista, Chula Vista, CA",-116.9995559,32.6459088
"649","Branham","San Jose","CA","USA","Branham, San Jose, CA","Branham, San Jose, CA",-121.8781381,37.2625208
"650","Brawley","Brawley","CA","USA","Brawley, Brawley, CA","Brawley, Brawley, CA",-115.530267,32.9786566
"651","Brea-olinda","Brea","CA","USA","Brea-olinda, Brea, CA","Brea-olinda, Brea, CA",-117.9002918,33.916475
"652","Buchanan","Clovis","CA","USA","Buchanan, Clovis, CA","Buchanan, Clovis, CA",-119.712578,36.8578709
"653","Buena","Ventura","CA","USA","Buena, Ventura, CA","Buena, Ventura, CA",-119.2133998,34.2636233
"654","Buena Park","Buena Park","CA","USA","Buena Park, Buena Park, CA","Buena Park, Buena Park, CA",-117.9981387,33.8674044
"655","Buena Park","Yorba Linda","CA","USA","Buena Park, Yorba Linda, CA","Buena Park, Yorba Linda, CA",-117.7655573,33.8895807
"656","Buhach Colony","Atwater","CA","USA","Buhach Colony, Atwater, CA","Buhach Colony, Atwater, CA",-120.5743205,37.348628
"657","Bullard","Fresno","CA","USA","Bullard, Fresno, CA","Bullard, Fresno, CA",-119.8570731,36.8230422
"658","Burbank","Burbank","CA","USA","Burbank, Burbank, CA","Burbank, Burbank, CA",-118.3089661,34.1808392
"659","Burroughs","Burbank","CA","USA","Burroughs, Burbank, CA","Burroughs, Burbank, CA",-118.3272254,34.1686295
"660","Burroughs","Ridgecrest","CA","USA","Burroughs, Ridgecrest, CA","Burroughs, Ridgecrest, CA",-117.6594539,35.6359364
"661","Cabrillo","Lompoc","CA","USA","Cabrillo, Lompoc, CA","Cabrillo, Lompoc, CA",-120.4754228,34.7113627
"662","Cajon","San Bernardino","CA","USA","Cajon, San Bernardino, CA","Cajon, San Bernardino, CA",-117.298472,34.1745924
"663","Calabasas","Calabasas","CA","USA","Calabasas, Calabasas, CA","Calabasas, Calabasas, CA",-118.6614809,34.1367208
"664","Calabasas","Carson","CA","USA","Calabasas, Carson, CA","Calabasas, Carson, CA",-118.281693,33.8316745
"665","Calabasas","Mission Viejo","CA","USA","Calabasas, Mission Viejo, CA","Calabasas, Mission Viejo, CA",-118.6614809,34.1367208
"666","Calabasas","West Hills","CA","USA","Calabasas, West Hills, CA","Calabasas, West Hills, CA",-118.6427554,34.1568738
"667","California","San Ramon","CA","USA","California, San Ramon, CA","California, San Ramon, CA",-121.9539616,37.7643595
"668","Calipatria","Calipatria","CA","USA","Calipatria, Calipatria, CA","Calipatria, Calipatria, CA",-115.5141538,33.1255957
"669","Campbell Hall School","Valley Village","CA","USA","Campbell Hall School, Valley Village, CA","Campbell Hall School, Valley Village, CA",-118.398326,34.153547
"670","Campolindo","Moraga","CA","USA","Campolindo, Moraga, CA","Campolindo, Moraga, CA",-122.1334433,37.8726996
"671","Canoga Park","Canoga Park","CA","USA","Canoga Park, Canoga Park, CA","Canoga Park, Canoga Park, CA",-118.6058609,34.208254
"672","Canyon","Anaheim","CA","USA","Canyon, Anaheim, CA","Canyon, Anaheim, CA",-117.7883558,33.8471403
"673","Canyon","Canyon Country","CA","USA","Canyon, Canyon Country, CA","Canyon, Canyon Country, CA",-118.4417853,34.4186585
"674","Canyon","Santa Clarita","CA","USA","Canyon, Santa Clarita, CA","Canyon, Santa Clarita, CA",-118.5561762,34.4153147
"675","Canyon Springs","Moreno Valley","CA","USA","Canyon Springs, Moreno Valley, CA","Canyon Springs, Moreno Valley, CA",-117.2580443,33.9627409
"676","Capistrano Valley","Mission Viejo","CA","USA","Capistrano Valley, Mission Viejo, CA","Capistrano Valley, Mission Viejo, CA",-117.6697936,33.5415426
"677","Capistrano Valley Christian School","San Juan Capistrano","CA","USA","Capistrano Valley Christian School, San Juan Capistrano, CA","Capistrano Valley Christian School, San Juan Capistrano, CA",-117.6703816,33.4976254
"678","Capital Christian","Sacramento","CA","USA","Capital Christian, Sacramento, CA","Capital Christian, Sacramento, CA",-121.3456626,38.5604869
"679","Cardinal Newman","Santa Rosa","CA","USA","Cardinal Newman, Santa Rosa, CA","Cardinal Newman, Santa Rosa, CA",-122.7410273,38.492971
"680","Carlsbad","Carlsbad","CA","USA","Carlsbad, Carlsbad, CA","Carlsbad, Carlsbad, CA",-117.3505939,33.1580933
"681","Carpinteria Senior","Carpinteria","CA","USA","Carpinteria Senior, Carpinteria, CA","Carpinteria Senior, Carpinteria, CA",-119.5245029,34.400512
"682","Carson Senior","Carson","CA","USA","Carson Senior, Carson, CA","Carson Senior, Carson, CA",-118.2755011,33.8237889
"683","Casa Grande","Petaluma","CA","USA","Casa Grande, Petaluma, CA","Casa Grande, Petaluma, CA",-122.59798,38.2424655
"684","Castle Park Senior","Chula Vista","CA","USA","Castle Park Senior, Chula Vista, CA","Castle Park Senior, Chula Vista, CA",-117.0675278,32.6103329
"685","Castlemont","Oakland","CA","USA","Castlemont, Oakland, CA","Castlemont, Oakland, CA",-122.1646708,37.7558436
"686","Castro Valley","Castro Valley","CA","USA","Castro Valley, Castro Valley, CA","Castro Valley, Castro Valley, CA",-122.0738678,37.6955029
"687","Cathedral","Los Angeles","CA","USA","Cathedral, Los Angeles, CA","Cathedral, Los Angeles, CA",-118.2449948,34.0577215
"688","Cathedral Catholic","San Diego","CA","USA","Cathedral Catholic, San Diego, CA","Cathedral Catholic, San Diego, CA",-117.201469,32.959656
"689","Cathedral City","Cathedral City","CA","USA","Cathedral City, Cathedral City, CA","Cathedral City, Cathedral City, CA",-116.4668036,33.7805388
"690","Centennial","Bakersfield","CA","USA","Centennial, Bakersfield, CA","Centennial, Bakersfield, CA",-119.0979764,35.3982686
"691","Centennial","Compton","CA","USA","Centennial, Compton, CA","Centennial, Compton, CA",-118.2537334,33.915236
"692","Centennial","Corona","CA","USA","Centennial, Corona, CA","Centennial, Corona, CA",-117.5454121,33.8581918
"693","Center","Antelope","CA","USA","Center, Antelope, CA","Center, Antelope, CA",-121.3942882,38.7155212
"694","Central Catholic","Modesto","CA","USA","Central Catholic, Modesto, CA","Central Catholic, Modesto, CA",-121.0298437,37.6363741
"695","Central East","Dos Palos","CA","USA","Central East, Dos Palos, CA","Central East, Dos Palos, CA",-120.6265722,36.9860582
"696","Central East","Fresno","CA","USA","Central East, Fresno, CA","Central East, Fresno, CA",-119.8810214,36.7874097
"697","Central Valley Christian Academy","Ceres","CA","USA","Central Valley Christian Academy, Ceres, CA","Central Valley Christian Academy, Ceres, CA",-120.9595763,37.606632
"698","Central Valley Christian Schools","Visalia","CA","USA","Central Valley Christian Schools, Visalia, CA","Central Valley Christian Schools, Visalia, CA",-119.3526472,36.321983
"699","Cerritos","Cerritos","CA","USA","Cerritos, Cerritos, CA","Cerritos, Cerritos, CA",-118.0647871,33.8583483
"700","Chadwick School","Palos Verdes Peninsula","CA","USA","Chadwick School, Palos Verdes Peninsula, CA","Chadwick School, Palos Verdes Peninsula, CA",-118.3613112,33.7767455
"701","Chaminade","West Hills","CA","USA","Chaminade, West Hills, CA","Chaminade, West Hills, CA",-118.6357714,34.2078181
"702","Channel Islands","Oxnard","CA","USA","Channel Islands, Oxnard, CA","Channel Islands, Oxnard, CA",-119.2291726,34.1819189
"703","Chaparral","Murrieta","CA","USA","Chaparral, Murrieta, CA","Chaparral, Murrieta, CA",-117.215229,33.555149
"704","Chaparral","Temecula","CA","USA","Chaparral, Temecula, CA","Chaparral, Temecula, CA",-117.1475581,33.5383361
"705","Charter Oak","Covina","CA","USA","Charter Oak, Covina, CA","Charter Oak, Covina, CA",-117.8463974,34.0994408
"706","Chatsworth Senior","Chatsworth","CA","USA","Chatsworth Senior, Chatsworth, CA","Chatsworth Senior, Chatsworth, CA",-118.5870802,34.2575578
"707","Chino","Chino","CA","USA","Chino, Chino, CA","Chino, Chino, CA",-117.688944,34.0122346
"708","Chino Hills","Chino","CA","USA","Chino Hills, Chino, CA","Chino Hills, Chino, CA",-117.7325848,33.9898188
"709","Chino Hills","Chino Hills","CA","USA","Chino Hills, Chino Hills, CA","Chino Hills, Chino Hills, CA",-117.7325848,33.9898188
"710","Christian","El Cajon","CA","USA","Christian, El Cajon, CA","Christian, El Cajon, CA",-116.9030544,32.8008756
"711","Christian Brothers","Sacramento","CA","USA","Christian Brothers, Sacramento, CA","Christian Brothers, Sacramento, CA",-121.464157,38.535509
"712","Chula Vista Senior","Chula Vista","CA","USA","Chula Vista Senior, Chula Vista, CA","Chula Vista Senior, Chula Vista, CA",-116.970433,32.6628541
"713","Citrus Hill","Perris","CA","USA","Citrus Hill, Perris, CA","Citrus Hill, Perris, CA",-117.330155,33.856313
"714","Citrus Valley","Redlands","CA","USA","Citrus Valley, Redlands, CA","Citrus Valley, Redlands, CA",-117.1923902,34.0826358
"715","Clairemont","San Diego","CA","USA","Clairemont, San Diego, CA","Clairemont, San Diego, CA",-117.1936969,32.82414
"716","Claremont","Claremont","CA","USA","Claremont, Claremont, CA","Claremont, Claremont, CA",-117.7063071,34.0936737
"717","Clayton Valley","Concord","CA","USA","Clayton Valley, Concord, CA","Clayton Valley, Concord, CA",-122.0180173,37.966589
"718","Clear Lake","Lakeport","CA","USA","Clear Lake, Lakeport, CA","Clear Lake, Lakeport, CA",-122.9158293,39.0429506
"719","Clovis","Clovis","CA","USA","Clovis, Clovis, CA","Clovis, Clovis, CA",-119.7029194,36.8252277
"720","Clovis East","Clovis","CA","USA","Clovis East, Clovis, CA","Clovis East, Clovis, CA",-119.640017,36.7994655
"721","Clovis North","Clovis","CA","USA","Clovis North, Clovis, CA","Clovis North, Clovis, CA",-119.7334187,36.8897188
"722","Clovis West","Fresno","CA","USA","Clovis West, Fresno, CA","Clovis West, Fresno, CA",-119.762504,36.8611131
"723","Colfax","Colfax","CA","USA","Colfax, Colfax, CA","Colfax, Colfax, CA",-120.9563432,39.1012407
"724","College Park","Pleasant Hill","CA","USA","College Park, Pleasant Hill, CA","College Park, Pleasant Hill, CA",-122.0716713,37.9647601
"725","Colony","Ontario","CA","USA","Colony, Ontario, CA","Colony, Ontario, CA",-117.5691334,34.0183196
"726","Colton","Colton","CA","USA","Colton, Colton, CA","Colton, Colton, CA",-117.3136547,34.0739016
"727","Compton","Compton","CA","USA","Compton, Compton, CA","Compton, Compton, CA",-118.2200712,33.8958492
"728","Compton Dominguez","Carson","CA","USA","Compton Dominguez, Carson, CA","Compton Dominguez, Carson, CA",-118.224885,33.8508097
"729","Compton Dominguez","Compton","CA","USA","Compton Dominguez, Compton, CA","Compton Dominguez, Compton, CA",-118.1818288,33.892375
"730","Concord","Concord","CA","USA","Concord, Concord, CA","Concord, Concord, CA",-122.0310733,37.9779776
"731","Convent Of The Sacred Heart","San Francisco","CA","USA","Convent Of The Sacred Heart, San Francisco, CA","Convent Of The Sacred Heart, San Francisco, CA",-122.4338838,37.7952535
"732","Cordova","Rancho Cordova","CA","USA","Cordova, Rancho Cordova, CA","Cordova, Rancho Cordova, CA",-121.302728,38.5890723
"733","Corona","Corona","CA","USA","Corona, Corona, CA","Corona, Corona, CA",-117.5664384,33.8752935
"734","Corona Del Mar","Newport Beach","CA","USA","Corona Del Mar, Newport Beach, CA","Corona Del Mar, Newport Beach, CA",-117.8730142,33.5978595
"735","Cosumnes Oaks","Elk Grove","CA","USA","Cosumnes Oaks, Elk Grove, CA","Cosumnes Oaks, Elk Grove, CA",-121.397214,38.398504
"736","Crawford Idea","San Diego","CA","USA","Crawford Idea, San Diego, CA","Crawford Idea, San Diego, CA",-117.0758686,32.7521974
"737","Crenshaw","Los Angeles","CA","USA","Crenshaw, Los Angeles, CA","Crenshaw, Los Angeles, CA",-118.3403506,34.0181993
"738","Crenshaw","Pasadena","CA","USA","Crenshaw, Pasadena, CA","Crenshaw, Pasadena, CA",-118.3403506,34.0181993
"739","Crespi","Encino","CA","USA","Crespi, Encino, CA","Crespi, Encino, CA",-118.5213686,34.1618989
"740","Culver City","Culver City","CA","USA","Culver City, Culver City, CA","Culver City, Culver City, CA",-118.3964665,34.0211224
"741","Cupertino","Cupertino","CA","USA","Cupertino, Cupertino, CA","Cupertino, Cupertino, CA",-122.0321823,37.3229978
"742","Cypress","Cypress","CA","USA","Cypress, Cypress, CA","Cypress, Cypress, CA",-118.0556232,33.8355947
"743","Damien","La Verne","CA","USA","Damien, La Verne, CA","Damien, La Verne, CA",-117.7874815,34.1042871
"744","Dana Hills","Dana Point","CA","USA","Dana Hills, Dana Point, CA","Dana Hills, Dana Point, CA",-117.7004983,33.4776672
"745","David Starr Jordan Senior","Los Angeles","CA","USA","David Starr Jordan Senior, Los Angeles, CA","David Starr Jordan Senior, Los Angeles, CA",-118.2298545,33.944673
"746","Davis Senior","Davis","CA","USA","Davis Senior, Davis, CA","Davis Senior, Davis, CA",-121.7472167,38.5488502
"747","De Anza Senior","El Sobrante","CA","USA","De Anza Senior, El Sobrante, CA","De Anza Senior, El Sobrante, CA",-122.2868171,37.9686335
"748","De La Salle","Concord","CA","USA","De La Salle, Concord, CA","De La Salle, Concord, CA",-122.031717,37.9341676
"749","Deer Valley","Antioch","CA","USA","Deer Valley, Antioch, CA","Deer Valley, Antioch, CA",-121.775139,37.963683
"750","Del Campo","Fair Oaks","CA","USA","Del Campo, Fair Oaks, CA","Del Campo, Fair Oaks, CA",-121.3085968,38.6551369
"751","Del Norte","Crescent City","CA","USA","Del Norte, Crescent City, CA","Del Norte, Crescent City, CA",-124.2025913,41.7557501
"752","Del Oro","Loomis","CA","USA","Del Oro, Loomis, CA","Del Oro, Loomis, CA",-121.1791537,38.8348156
"753","Del Oro","Rocklin","CA","USA","Del Oro, Rocklin, CA","Del Oro, Rocklin, CA",-121.2570731,38.7799456
"754","Delta Charter","Tracy","CA","USA","Delta Charter, Tracy, CA","Delta Charter, Tracy, CA",-121.3242688,37.6680914
"755","Desert","Edwards","CA","USA","Desert, Edwards, CA","Desert, Edwards, CA",-117.943225,34.9241766
"756","Desert Chapel Christian","Palm Springs","CA","USA","Desert Chapel Christian, Palm Springs, CA","Desert Chapel Christian, Palm Springs, CA",-116.5276769,33.8125772
"757","Desert Sands Charter","Lancaster","CA","USA","Desert Sands Charter, Lancaster, CA","Desert Sands Charter, Lancaster, CA",-118.164172,34.684768
"758","Diamond Bar","Diamond Bar","CA","USA","Diamond Bar, Diamond Bar, CA","Diamond Bar, Diamond Bar, CA",-117.8103367,34.0286226
"759","Diamond Ranch","Pomona","CA","USA","Diamond Ranch, Pomona, CA","Diamond Ranch, Pomona, CA",-117.7784747,34.021841
"760","Dinuba","Dinuba","CA","USA","Dinuba, Dinuba, CA","Dinuba, Dinuba, CA",-119.3870656,36.5432837
"761","Dixon","Dixon","CA","USA","Dixon, Dixon, CA","Dixon, Dixon, CA",-121.8232958,38.4454641
"762","Don Lugo","Chino","CA","USA","Don Lugo, Chino, CA","Don Lugo, Chino, CA",-117.716058,34.0085308
"763","Dorsey","Los Angeles","CA","USA","Dorsey, Los Angeles, CA","Dorsey, Los Angeles, CA",-118.2484499,34.0079062
"764","Dos Palos","Dos Palos","CA","USA","Dos Palos, Dos Palos, CA","Dos Palos, Dos Palos, CA",-120.6265722,36.9860582
"765","Dos Pueblos Senior","Goleta","CA","USA","Dos Pueblos Senior, Goleta, CA","Dos Pueblos Senior, Goleta, CA",-119.8792207,34.4392099
"766","Dougherty Valley","San Ramon","CA","USA","Dougherty Valley, San Ramon, CA","Dougherty Valley, San Ramon, CA",-121.9023247,37.7692188
"767","Downey","Downey","CA","USA","Downey, Downey, CA","Downey, Downey, CA",-118.1331593,33.9401088
"768","Duarte","Duarte","CA","USA","Duarte, Duarte, CA","Duarte, Duarte, CA",-117.9772873,34.1394513
"769","Dublin","Dublin","CA","USA","Dublin, Dublin, CA","Dublin, Dublin, CA",-121.9101221,37.7159396
"770","East Bakersfield","Bakersfield","CA","USA","East Bakersfield, Bakersfield, CA","East Bakersfield, Bakersfield, CA",-118.9732411,35.3862176
"771","East Valley","Redlands","CA","USA","East Valley, Redlands, CA","East Valley, Redlands, CA",-117.1289571,34.0618322
"772","Eastlake","Chula Vista","CA","USA","Eastlake, Chula Vista, CA","Eastlake, Chula Vista, CA",-116.976412,32.6556653
"773","Eastside Christian Schools","Fullerton","CA","USA","Eastside Christian Schools, Fullerton, CA","Eastside Christian Schools, Fullerton, CA",-117.9581378,33.8675067
"774","Edison","Fresno","CA","USA","Edison, Fresno, CA","Edison, Fresno, CA",-119.8179095,36.7140427
"775","Edison","Huntington Beach","CA","USA","Edison, Huntington Beach, CA","Edison, Huntington Beach, CA",-117.9718484,33.6522057
"776","Edison","Stockton","CA","USA","Edison, Stockton, CA","Edison, Stockton, CA",-121.2871979,37.9377571
"777","Eisenhower Senior","Rialto","CA","USA","Eisenhower Senior, Rialto, CA","Eisenhower Senior, Rialto, CA",-117.3779619,34.1235881
"778","El Camino","Oceanside","CA","USA","El Camino, Oceanside, CA","El Camino, Oceanside, CA",-117.3189045,33.2175617
"779","El Camino Real Senior","Woodland Hills","CA","USA","El Camino Real Senior, Woodland Hills, CA","El Camino Real Senior, Woodland Hills, CA",-118.6431016,34.1694892
"780","El Capitan","Lakeside","CA","USA","El Capitan, Lakeside, CA","El Capitan, Lakeside, CA",-116.9164494,32.8683679
"781","El Cerrito","El Cerrito","CA","USA","El Cerrito, El Cerrito, CA","El Cerrito, El Cerrito, CA",-122.310765,37.9161326
"782","El Diamante","Visalia","CA","USA","El Diamante, Visalia, CA","El Diamante, Visalia, CA",-119.3472028,36.3059673
"783","El Dorado","Placentia","CA","USA","El Dorado, Placentia, CA","El Dorado, Placentia, CA",-117.8555898,33.8924447
"784","El Dorado","Placerville","CA","USA","El Dorado, Placerville, CA","El Dorado, Placerville, CA",-120.798546,38.7296252
"785","El Modena","Orange","CA","USA","El Modena, Orange, CA","El Modena, Orange, CA",-117.8094995,33.7877948
"786","El Molino","Forestville","CA","USA","El Molino, Forestville, CA","El Molino, Forestville, CA",-122.8896423,38.4815086
"787","El Segundo","El Segundo","CA","USA","El Segundo, El Segundo, CA","El Segundo, El Segundo, CA",-118.4164652,33.9191799
"788","El Toro","Lake Forest","CA","USA","El Toro, Lake Forest, CA","El Toro, Lake Forest, CA",-117.6861023,33.6469437
"789","Eleanor Roosevelt","Corona","CA","USA","Eleanor Roosevelt, Corona, CA","Eleanor Roosevelt, Corona, CA",-117.5686035,33.9530682
"790","Eleanor Roosevelt","Los Angeles","CA","USA","Eleanor Roosevelt, Los Angeles, CA","Eleanor Roosevelt, Los Angeles, CA",-117.5686035,33.9530682
"791","Eleanor Roosevelt",NA,"CA","USA","Eleanor Roosevelt, NA, CA","Eleanor Roosevelt, CA",-117.5686035,33.9530682
"792","Elk Grove","Elk Grove","CA","USA","Elk Grove, Elk Grove, CA","Elk Grove, Elk Grove, CA",-121.3716178,38.4087993
"793","Elsinore","Wildomar","CA","USA","Elsinore, Wildomar, CA","Elsinore, Wildomar, CA",-117.2794218,33.6534292
"794","Encinal","Alameda","CA","USA","Encinal, Alameda, CA","Encinal, Alameda, CA",-122.2895291,37.7726346
"795","Enterprise","Redding","CA","USA","Enterprise, Redding, CA","Enterprise, Redding, CA",-122.366769,40.5705861
"796","Ernest Righetti","Santa Maria","CA","USA","Ernest Righetti, Santa Maria, CA","Ernest Righetti, Santa Maria, CA",-120.4212692,34.8844006
"797","Escondido","Escondido","CA","USA","Escondido, Escondido, CA","Escondido, Escondido, CA",-117.086421,33.1192068
"798","Esparto","Esparto","CA","USA","Esparto, Esparto, CA","Esparto, Esparto, CA",-122.0171925,38.6921258
"799","Esperanza","Placentia","CA","USA","Esperanza, Placentia, CA","Esperanza, Placentia, CA",-117.8025665,33.8692974
"800","Etiwanda","Rancho Cucamonga","CA","USA","Etiwanda, Rancho Cucamonga, CA","Etiwanda, Rancho Cucamonga, CA",-117.5236622,34.1261208
"801","Eureka","Eureka","CA","USA","Eureka, Eureka, CA","Eureka, Eureka, CA",-124.1636729,40.8020712
"802","Fairfax Senior","Los Angeles","CA","USA","Fairfax Senior, Los Angeles, CA","Fairfax Senior, Los Angeles, CA",-118.3623384,34.0840325
"803","Fairfield","Fairfield","CA","USA","Fairfield, Fairfield, CA","Fairfield, Fairfield, CA",-122.1285161,38.2199167
"804","Fallbrook","Fallbrook","CA","USA","Fallbrook, Fallbrook, CA","Fallbrook, Fallbrook, CA",-117.2189821,33.371078
"805","Florin","Sacramento","CA","USA","Florin, Sacramento, CA","Florin, Sacramento, CA",-121.4088416,38.4960187
"806","Folsom","Folsom","CA","USA","Folsom, Folsom, CA","Folsom, Folsom, CA",-121.1760583,38.6779591
"807","Folsom","Sacramento","CA","USA","Folsom, Sacramento, CA","Folsom, Sacramento, CA",-121.1760583,38.6779591
"808","Foothill","Pleasanton","CA","USA","Foothill, Pleasanton, CA","Foothill, Pleasanton, CA",-121.9198812,37.6725157
"809","Foothill","Sacramento","CA","USA","Foothill, Sacramento, CA","Foothill, Sacramento, CA",-121.347462,38.6797428
"810","Foothill","Santa Ana","CA","USA","Foothill, Santa Ana, CA","Foothill, Santa Ana, CA",-117.7975286,33.7668073
"811","Foothills Christian","El Cajon","CA","USA","Foothills Christian, El Cajon, CA","Foothills Christian, El Cajon, CA",-116.9955324,32.7979032
"812","Fountain Valley","Fountain Valley","CA","USA","Fountain Valley, Fountain Valley, CA","Fountain Valley, Fountain Valley, CA",-117.9544069,33.7090212
"813","Fowler","Fowler","CA","USA","Fowler, Fowler, CA","Fowler, Fowler, CA",-119.6784697,36.6305058
"814","Francis Parker School","San Diego","CA","USA","Francis Parker School, San Diego, CA","Francis Parker School, San Diego, CA",-117.1771931,32.7718502
"815","Franklin","Elk Grove","CA","USA","Franklin, Elk Grove, CA","Franklin, Elk Grove, CA",-121.4301809,38.3928492
"816","Franklin D Roosevelt Private School","Sacramento","CA","USA","Franklin D Roosevelt Private School, Sacramento, CA","Franklin D Roosevelt Private School, Sacramento, CA",-121.4539915,38.4976243
"817","Fred C. Beyer","Modesto","CA","USA","Fred C. Beyer, Modesto, CA","Fred C. Beyer, Modesto, CA",-120.9670172,37.690359
"818","Freedom","Oakley","CA","USA","Freedom, Oakley, CA","Freedom, Oakley, CA",-121.7191977,37.9706308
"819","Freedom Christian School","Fair Oaks","CA","USA","Freedom Christian School, Fair Oaks, CA","Freedom Christian School, Fair Oaks, CA",-121.2806724,38.6524652
"820","Fremont","Sunnyvale","CA","USA","Fremont, Sunnyvale, CA","Fremont, Sunnyvale, CA",-122.0348306,37.3524872
"821","Fremont Christian School","Fremont","CA","USA","Fremont Christian School, Fremont, CA","Fremont Christian School, Fremont, CA",-122.018709,37.550625
"822","Fresno","Fresno","CA","USA","Fresno, Fresno, CA","Fresno, Fresno, CA",-119.7871247,36.7377981
"823","Fresno Christian Schools","Fresno","CA","USA","Fresno Christian Schools, Fresno, CA","Fresno Christian Schools, Fresno, CA",-119.7529141,36.8423063
"824","Frontier","Bakersfield","CA","USA","Frontier, Bakersfield, CA","Frontier, Bakersfield, CA",-119.1485161,35.4177162
"825","Fullerton Union","Fullerton","CA","USA","Fullerton Union, Fullerton, CA","Fullerton Union, Fullerton, CA",-117.9483319,33.9152614
"826","Gahr","Cerritos","CA","USA","Gahr, Cerritos, CA","Gahr, Cerritos, CA",-118.0942995,33.8735578
"827","Ganesha","Pomona","CA","USA","Ganesha, Pomona, CA","Ganesha, Pomona, CA",-117.7903715,34.0693384
"828","Garces Memorial","Bakersfield","CA","USA","Garces Memorial, Bakersfield, CA","Garces Memorial, Bakersfield, CA",-119.0023114,35.3980392
"829","Garden Grove","Garden Grove","CA","USA","Garden Grove, Garden Grove, CA","Garden Grove, Garden Grove, CA",-117.9379952,33.7742692
"830","Gardena Senior","Gardena","CA","USA","Gardena Senior, Gardena, CA","Gardena Senior, Gardena, CA",-118.3269395,33.8995744
"831","Garey Senior","Pomona","CA","USA","Garey Senior, Pomona, CA","Garey Senior, Pomona, CA",-117.751696,34.0385062
"832","Gateway","Visalia","CA","USA","Gateway, Visalia, CA","Gateway, Visalia, CA",-119.4012314,36.3364513
